Beat,Calls,Arrests,Stops,Total_Activities,Proportion_Calls,Proportion_Arrests,Proportion_Stops
R2,9496,617,133,10246,0.926800702713254,0.06021862190122975,0.012980675385516298
R3,6610,231,53,6894,0.9588047577603713,0.03350739773716275,0.007687844502465913
RS,14,0,NA,NA,NA,NA,NA
S,62,0,NA,NA,NA,NA,NA
S1,5895,254,46,6195,0.9515738498789347,0.04100080710250202,0.0074253430185633575
S2,5392,228,56,5676,0.9499647639182522,0.040169133192389,0.009866102889358703
S3,5563,204,44,5811,0.9573223197384271,0.035105833763551884,0.007571846498020994
SP,28,0,NA,NA,NA,NA,NA
SPVD,4,0,NA,NA,NA,NA,NA
SPVDD,67,0,NA,NA,NA,NA,NA
SS,17,0,NA,NA,NA,NA,NA
SWT,2,0,NA,NA,NA,NA,NA
TAC3,1,0,NA,NA,NA,NA,NA
TQ,2,0,NA,NA,NA,NA,NA
TRF,1,0,NA,NA,NA,NA,NA
TRU,1,0,NA,NA,NA,NA,NA
U1,8656,350,57,9063,0.9550921328478429,0.0386185589760565,0.006289308176100629
U2,7407,322,70,7799,0.9497371457879216,0.041287344531350176,0.008975509680728298
U3,6908,194,37,7139,0.9676425269645609,0.027174674324135034,0.005182798711304104
W,55,0,NA,NA,NA,NA,NA
W1,8200,191,50,8441,0.9714488804643999,0.022627650752280536,0.005923468783319512
W2,7009,195,71,7275,0.9634364261168384,0.026804123711340205,0.009759450171821307
W3,4290,122,40,4452,0.9636118598382749,0.027403414195867025,0.008984725965858042
WD,2,0,NA,NA,NA,NA,NA
WP,83,0,NA,NA,NA,NA,NA
WS,22,0,NA,NA,NA,NA,NA
