"REPDIST","adult_arr_rate_LA.2018","arr_rate_a_LA.2018","arr_rate_b_LA.2018","arr_rate_h_LA.2018","arr_rate_w_LA.2018","cfs_nonser_rate_LA.2018","cfs_nonser_rate_LA.2018.1","cfs_nonser_rate_LA.2018.2","cfs_serious_rate_LA.2018","cfs_serious_rate_LA.2018.1","cfs_serious_rate_LA.2018.2","cfs_serious_rate_LA.2018.3","cfs_serious_rate_LA.2018.4","cfs_serious_rate_LA.2018.5","cfs_serious_rate_LA.2018.6","cfs_serious_rate_LA.2018.7","cfs_serious_rate_LA.2018.8","cfs_serious_rate_LA.2018.9","cfs_serious_rate_LA.2018.10","cfs_serious_rate_LA.2018.11","crime_p1p_rate_LA.2018","crime_p1v_rate_LA.2018","crime_p2_rate_LA.2018","juv_arr_rate_LA.2018","s_numped_rate_LA.2018","s_numveh_rate_LA.2018","stop_rate_a_LA.2018","stop_rate_b_LA.2018","stop_rate_h_LA.2018","stop_rate_w_LA.2018","a_pop_pct.2018","b_pop_pct.2018","w_pop_pct.2018","h_pop_pct.2018","s_totnum.2018","arr_total.2018","cfs_ui.2018","cfs_serious.2018","cfs_nonser.2018","crime_p1v.2018","crime_p1p.2018","crime_p2.2018","s_numveh.2018","s_numped.2018","juv_pop_pct.2018","total_pop.2018","cluster_h","cluster_k","cluster_g","total_police_scale","total_citizen_scale"
1906,-0.386932453152801,-0.335547647241966,-0.435101974003025,-0.234627411081661,-0.275961878429708,-0.522694095509695,-0.522694095509695,-0.522694095509695,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.83534031706283,-0.53991815870749,-0.486990947926166,-0.0453331711293115,-0.479012828953557,-0.701710996138155,-0.646128444100346,-0.46847353872639,-0.580365207557646,-0.584750782916207,0.0154960418844508,0.0102745494335096,0.153949797198497,0.811352529892625,125,33,457,57,400,30,27,32,72,53,0.202459155540943,4317.33251953125,"1","5","1",-0.656045874515537,-0.558353670695995
1909,-0.393755015438469,-0.335547647241966,-0.418396719267438,-0.393027429864486,-0.122399172750159,-0.769077439965697,-0.769077439965697,-0.769077439965697,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.62522110642037,-0.794693622011614,-0.797004067027865,-0.876346214068163,-0.0453331711293115,-0.462803185064459,-0.767882794829065,-0.574103715750917,-0.46847353872639,-0.747287236357714,-0.484237951462262,0.0700042426813746,0.0326686465846415,0.257106491302503,0.598430207891387,92,32,346,57,289,15,30,19,35,57,0.221892235893084,4714,"1","5","1",-0.695349818752723,-0.753920966146935
1912,-0.373287328581467,-0.335547647241966,-0.418396719267438,-0.187107405446812,-0.250368094149783,-0.755759421346454,-0.755759421346454,-0.755759421346454,-0.717360377892405,-0.717360377892405,-0.717360377892405,-0.717360377892405,-0.717360377892405,-0.717360377892405,-0.717360377892405,-0.717360377892405,-0.717360377892405,-0.717360377892405,-0.717360377892405,-0.717360377892405,-0.577911248405129,-0.711308764254407,-0.576842163189704,0.921831288114457,-0.483065239925831,-0.683826726221693,-0.622120201317203,-0.46325752857866,-0.602003248328025,-0.507888029451426,0.0555555555555556,0.0559309313840784,0.171921911499529,0.695945930992076,134,40,340,45,295,20,46,29,82,52,0.28622371296147,3640.31323242188,"1","5","1",-0.637549900756861,-0.764492171306446
1908,-0.407400140009804,-0.335547647241966,-0.401691464531851,-0.250467412959944,-0.352743231269481,-0.518254755969947,-0.518254755969947,-0.518254755969947,-0.563794925439014,-0.563794925439014,-0.563794925439014,-0.563794925439014,-0.563794925439014,-0.563794925439014,-0.563794925439014,-0.563794925439014,-0.563794925439014,-0.563794925439014,-0.563794925439014,-0.563794925439014,-0.591460146755535,-0.282832250387114,-0.00778446652063032,0.148099720719443,-0.519536938676301,-0.730325828004495,-0.59811195853406,-0.455433513357066,-0.694737708772507,-0.561100704927043,0.0715760522052497,0.0130763946206787,0.1789401278103,0.713351710810062,99,31,467,65,402,45,45,48,56,43,0.285443910596965,5645.49755859375,"1","5","1",-0.68841382859322,-0.540734995430145
1905,-0.373287328581467,-0.335547647241966,-0.418396719267438,-0.250467412959944,-0.301555662709632,-0.860083900530527,-0.860083900530527,-0.860083900530527,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.781144723661209,-0.64275252203564,-1.11594945477093,-0.432198954826819,-0.406069431452616,-0.716018412071325,-0.622120201317203,-0.455433513357066,-0.592729802283577,-0.543363146435171,0.0304744810354356,0.0136133695601067,0.116928707250438,0.831967953161539,135,33,281,33,248,24,31,11,64,71,0.245880655437898,2158.74005317688,"1","5","5",-0.644485890916364,-0.868442355374963
1708,-0.352819641724462,-0.335547647241966,-0.351575700325089,-0.456387437377617,-0.224774309869858,-0.489399048961586,-0.489399048961586,-0.489399048961586,-0.725038650515074,-0.725038650515074,-0.725038650515074,-0.725038650515074,-0.725038650515074,-0.725038650515074,-0.725038650515074,-0.725038650515074,-0.725038650515074,-0.725038650515074,-0.725038650515074,-0.725038650515074,-0.279835484696212,-0.505640037598106,0.171917964006446,-0.625631846675572,-0.483065239925831,0.743338013111996,1.37056394968366,-0.272873158186541,0.201695408857487,1.36638065118978,0.130929914031423,0.0402105179019708,0.572455974848292,0.223091039089029,932,35,459,44,415,32,68,54,880,52,0.172472007949795,5211.53869628906,"2","5","1",0.279156798657513,-0.554829935642825
1913,-0.00486896515541103,-0.335547647241966,-0.435101974003025,0.652412694102167,-0.224774309869858,0.132108486603103,0.132108486603103,0.132108486603103,-0.0493506597201534,-0.0493506597201534,-0.0493506597201534,-0.0493506597201534,-0.0493506597201534,-0.0493506597201534,-0.0493506597201534,-0.0493506597201534,-0.0493506597201534,-0.0493506597201534,-0.0493506597201534,-0.0493506597201534,-0.415324468200266,-0.197136947613656,0.321669989445675,0.534965504416949,0.0478005974421244,-0.0417814362206973,-0.502078987401488,-0.455433513357066,0.745737576798452,-0.27138724955979,0.0141917618553133,0.00398061613014884,0.107130494980962,0.862236067843544,624,92,827,132,695,50,58,59,441,183,0.254240221529941,5778,"2","3","2",-0.0109987896817148,0.0935373141404715
1917,-0.161787897725768,-0.335547647241966,-0.351575700325089,0.0188126189708611,0.0311635329293872,-0.105396178773403,-0.105396178773403,-0.105396178773403,0.303849880922646,0.303849880922646,0.303849880922646,0.303849880922646,0.303849880922646,0.303849880922646,0.303849880922646,0.303849880922646,0.303849880922646,0.303849880922646,0.303849880922646,0.303849880922646,-0.00885751768810608,0.16278332403487,0.0221659385672157,0.148099720719443,-0.211553704783442,-0.658788748338646,-0.550095472967774,-0.442393487987743,-0.422716624802026,-0.442850314981226,0.0516164872356298,0.0673086341509024,0.0952992133336741,0.778511625795144,215,67,766,178,588,71,88,49,96,119,0.313562884905935,5990.00317382812,"2","3","3",-0.512702077885798,-0.0139366049812163
1907,-0.236836082868112,1.76857710203777,-0.384986209796263,-0.1079073960554,-0.147992957030085,-0.274091081283819,-0.274091081283819,-0.274091081283819,-0.241307475286892,-0.241307475286892,-0.241307475286892,-0.241307475286892,-0.241307475286892,-0.241307475286892,-0.241307475286892,-0.241307475286892,-0.241307475286892,-0.241307475286892,-0.241307475286892,-0.241307475286892,-0.496617858302697,-0.454222855934031,-0.367189327574782,-0.432198954826819,-0.389859787563518,-0.270700091151414,-0.334021287919487,-0.439785482913878,0.0347733800574207,-0.360075042019154,0.0795271359484148,0.0354648038688877,0.133530360021494,0.751477700161204,388,53,619,107,512,35,52,36,313,75,0.230252552391188,3722,"1","3","2",-0.328898338658957,-0.272931131389218
1911,-0.502916012009152,-0.335547647241966,-0.401691464531851,-0.53558744676903,-0.378337015549406,-1.2618441288777,-1.2618441288777,-1.2618441288777,-1.00913473755385,-1.00913473755385,-1.00913473755385,-1.00913473755385,-1.00913473755385,-1.00913473755385,-1.00913473755385,-1.00913473755385,-1.00913473755385,-1.00913473755385,-1.00913473755385,-1.00913473755385,-1.09276938572053,-0.951255612020091,-1.29565188529801,-0.625631846675572,-0.600585158121791,-0.753575378895896,-0.670136686883489,-0.455433513357066,-0.775107574491058,-0.578838263418916,0.0288816065859059,0.00143383856923395,0.0725112640403689,0.886931584668403,66,13,74,7,67,6,8,5,43,23,0.30766079414586,125.45378112793,"1","5","5",-0.747369744948999,-1.23314893337807
1916,-0.168610460011435,-0.335547647241966,-0.368280955060676,0.224732643388534,-0.173586741310009,-0.0343667461374386,-0.0343667461374386,-0.0343667461374386,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.496617858302697,0.0770880212614114,-0.187486897047706,1.30869707181196,-0.0129855671419927,-0.351179305775494,-0.502078987401488,-0.413705432175232,0.155328178635245,-0.348250003024572,0.0155555555555556,0.000555555555555556,0.0702777777777778,0.913055555555556,436,72,745,125,620,66,52,42,268,168,0.233611111111111,3600,"2","3","2",-0.251446448544501,-0.0509358230395022
1918,-0.0662720257264199,-0.335547647241966,-0.251344171911564,0.208892641510251,-0.0968053884702358,0.673707910452333,0.673707910452333,0.673707910452333,0.41902397026269,0.41902397026269,0.41902397026269,0.41902397026269,0.41902397026269,0.41902397026269,0.41902397026269,0.41902397026269,0.41902397026269,0.41902397026269,0.41902397026269,0.41902397026269,0.46535392457608,0.317034869027095,0.980578901378287,0.341532612568196,0.00727648771937974,-0.379794137641834,-0.334021287919487,-0.371977350993397,-0.0115938501648216,-0.212262054586882,0.0263157894736842,0.0307280176489127,0.0661834226284274,0.875354554049795,425,82,1132,193,939,80,123,81,252,173,0.314686416640403,6346,"2","3","3",-0.252602446904419,0.63090690974891
1921,0.0906469068439371,-0.335547647241966,-0.234638917175977,0.351452658414795,0.0311635329293872,0.31856074727251,0.31856074727251,0.31856074727251,0.142606155846586,0.142606155846586,0.142606155846586,0.142606155846586,0.142606155846586,0.142606155846586,0.142606155846586,0.142606155846586,0.142606155846586,0.142606155846586,0.142606155846586,0.142606155846586,0.0453380757135153,-0.00860728151204711,0.112017153830754,-0.625631846675572,0.0802198852203203,-0.129414358811362,-0.310013045136344,-0.377193361141127,0.461351898102038,-0.194524496095009,0.0415676462801245,0.00307329095722108,0.0736171108989612,0.870096081636741,583,100,936,157,779,61,92,52,392,191,0.303401588588026,5110.32089233398,"2","3","2",-0.0491467355589838,0.285580874538241
1915,-0.230013520582444,-0.335547647241966,-0.435101974003025,0.0188126189708611,-0.224774309869858,-0.338461504610162,-0.338461504610162,-0.338461504610162,-0.410229472985622,-0.410229472985622,-0.410229472985622,-0.410229472985622,-0.410229472985622,-0.410229472985622,-0.410229472985622,-0.410229472985622,-0.410229472985622,-0.410229472985622,-0.410229472985622,-0.410229472985622,-0.60500904510594,-0.368527553160573,0.291719584357829,-0.432198954826819,-0.280444691312108,-0.47636919519073,-0.59811195853406,-0.452825508283202,-0.129057500061163,-0.466500392970389,0,0,0.0308483290488432,0.961118251928021,300,54,568,85,483,40,44,58,198,102,0.256426735218509,3112,"1","5","1",-0.429470195971757,-0.362786375245055
1919,-0.516561136580488,-0.335547647241966,-0.418396719267438,-0.53558744676903,-0.378337015549406,-1.22632941255972,-1.22632941255972,-1.22632941255972,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.916633707165262,-0.934116551465399,-1.05604864459524,-0.625631846675572,-0.628952034927712,-0.787555491737174,-0.670136686883489,-0.471081543800254,-0.809110209987368,-0.620225899899952,0.0715760497812846,0.0130763943709304,0.178940130180907,0.713351726721636,40,11,99,16,83,7,21,13,24,16,0.285443922098936,166.502258300781,"1","5","5",-0.779737699026682,-1.18910224521344
1701,-0.209545833725442,-0.335547647241966,-0.351575700325089,-0.488067441134182,0.287101375728633,0.200918249469194,0.200918249469194,0.200918249469194,-0.0263158418521447,-0.0263158418521447,-0.0263158418521447,-0.0263158418521447,-0.0263158418521447,-0.0263158418521447,-0.0263158418521447,-0.0263158418521447,-0.0263158418521447,-0.0263158418521447,-0.0263158418521447,-0.0263158418521447,0.573745111379323,-0.0428854026214304,1.01052930646613,-0.432198954826819,-0.320968801034852,-0.267123237168122,1.10647327906909,-0.374585356067262,-0.524724531290956,0.19570179072619,0.443149218781691,0.0365218280170373,0.378882249473391,0.0869969645586763,407,57,861,135,726,59,131,82,315,92,0.22710655226832,12975.6299837828,"2","3","2",-0.30231037638086,0.153440810044363
1707,-0.537028823437491,-0.335547647241966,-0.418396719267438,-0.614787456160443,-0.327149446989557,-1.07983120774804,-1.07983120774804,-1.07983120774804,-0.96306510181783,-0.96306510181783,-0.96306510181783,-0.96306510181783,-0.96306510181783,-0.96306510181783,-0.96306510181783,-0.96306510181783,-0.96306510181783,-0.96306510181783,-0.96306510181783,-0.96306510181783,-0.916633707165262,-0.882699369801324,-1.11594945477093,-0.238766062978064,-0.64516167881681,-0.653423467363707,-0.35802953070263,-0.452825508283202,-0.802927912624403,-0.395550159002899,0.211322385479689,0.00129645635263613,0.605877268798617,0.115384615384615,111,10,162,13,149,10,21,11,99,12,0.18971477960242,2314,"1","5","5",-0.698817813832475,-1.07810459103858
1925,-0.284594018867786,-0.335547647241966,-0.401691464531851,-0.012867384785705,-0.352743231269481,-0.496058058271208,-0.496058058271208,-0.496058058271208,-0.586829743307022,-0.586829743307022,-0.586829743307022,-0.586829743307022,-0.586829743307022,-0.586829743307022,-0.586829743307022,-0.586829743307022,-0.586829743307022,-0.586829743307022,-0.586829743307022,-0.586829743307022,-0.496617858302697,-0.43708379537934,-0.247387707223398,-0.432198954826819,-0.312863979090303,-0.590828522656089,-0.646128444100346,-0.455433513357066,-0.295979528861235,-0.549275665932461,0.0975393875022128,0.00708089927420782,0.0357585413347495,0.853779429987608,228,46,474,62,412,36,52,40,134,94,0.249247654452115,5649,"1","5","1",-0.521950064765137,-0.52840192274405
1715,-0.386932453152801,-0.335547647241966,-0.384986209796263,-0.377187427986204,-0.301555662709632,-0.746880742266958,-0.746880742266958,-0.746880742266958,-0.870925830345796,-0.870925830345796,-0.870925830345796,-0.870925830345796,-0.870925830345796,-0.870925830345796,-0.870925830345796,-0.870925830345796,-0.870925830345796,-0.870925830345796,-0.870925830345796,-0.870925830345796,-0.726949130259588,-0.814143127582557,-0.876346214068163,-0.432198954826819,-0.539798993537674,-0.619443354522428,-0.213980074003772,-0.458041518430931,-0.710193452179921,-0.377812600511026,0.178974239759378,0.016173654140668,0.562672908333134,0.199829743569564,156,31,324,25,299,14,35,19,118,38,0.175782078719593,4566.296875,"1","5","5",-0.622521922077937,-0.792682051731806
